Date,Region,Wheat_yield,Barley_yield,Rapeseed_yield
2013-12-31,Melbourne,4996.714153011233,3627.4161971437943,3040.5169228127543
2014-12-31,Melbourne,4361.735698828816,4193.569817252827,2145.151088271926
2015-12-31,Melbourne,5147.688538100692,2469.375804273762,2673.3703652848903
2016-12-31,Melbourne,6023.029856408026,2620.065733989574,3066.5535538259196
2017-12-31,Melbourne,4265.846625276664,3550.169976607222,2309.4038535466184
2018-12-31,Melbourne,4265.863043050819,3189.735103732461,3225.4188110074033
2019-12-31,Melbourne,6079.2128155073915,4251.397866076219,2639.616786048717
2020-12-31,Melbourne,5267.434729152908,3273.580739583031,2824.983750124034
2021-12-31,Melbourne,4030.525614065048,2870.1570389317667,2638.976032662362
2022-12-31,Melbourne,5042.560043585965,5172.5190151372435,4111.366910705363
2023-12-31,Melbourne,4036.582307187538,3819.3789596107713,2991.9016651572397
